Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.000211548270024517,-0.455924903723439,0.520570759184668,0,0,0,7.3658966638029,0.149737913482403,5.4566009501789E-07,-8.98208147226468E-13,0.0402457604729162,6.61238000992775E-11,0.174510484060074,0,0,0,0,0,0,package://nuDogv6/meshes/Body.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://nuDogv6/meshes/Body.STL,,FrameAssemblyJB-1/Structual1inTube-4;FrameAssemblyJB-1/Structual1inTube-1;FrameAssemblyJB-1/FramePanelSubAssembly-13/JBFrameCenterMount-1;FrameAssemblyJB-1/FramePanelSubAssembly-2/JBFrameTubeMount-5;FrameAssemblyJB-1/FramePanelSubAssembly-2/JBFrameTubeMount-6;FrameAssemblyJB-1/FramePanelSubAssembly-2/JBFrameCenterMount-1;FrameAssemblyJB-1/FramePanelSubAssembly-1/91290A168_Alloy Steel Socket Head Screw-24;FrameAssemblyJB-1/FramePanelSubAssembly-1/91290A168_Alloy Steel Socket Head Screw-27;FrameAssemblyJB-1/FramePanelSubAssembly-1/91290A168_Alloy Steel Socket Head Screw-29;FrameAssemblyJB-1/FramePanelSubAssembly-1/91290A168_Alloy Steel Socket Head Screw-28;FrameAssemblyJB-1/FramePanelSubAssembly-1/91290A168_Alloy Steel Socket Head Screw-25;FrameAssemblyJB-1/FramePanelSubAssembly-1/91290A168_Alloy Steel Socket Head Screw-26;FrameAssemblyJB-1/FramePanelSubAssembly-1/91290A168_Alloy Steel Socket Head Screw-31;FrameAssemblyJB-1/FramePanelSubAssembly-1/JBFrameTubeMount-1;FrameAssemblyJB-1/FramePanelSubAssembly-1/91290A168_Alloy Steel Socket Head Screw-18;FrameAssemblyJB-1/FramePanelSubAssembly-1/JBFrameTubeMount-2;FrameAssemblyJB-1/FramePanelSubAssembly-1/JBFrameCenterMount-1;FrameAssemblyJB-1/Structual1inTube-2;FrameAssemblyJB-1/Structual1inTube-3;FrameAssemblyJB-1/FramePanelSubAssembly-2/JBFrameTubeMount-2;FrameAssemblyJB-1/FramePanelSubAssembly-1/JBFrameTubeMount-8;FrameAssemblyJB-1/FramePanelSubAssembly-1/JBFrameTubeMount-7;FrameAssemblyJB-1/FramePanelSubAssembly-2/JBFrameTubeMount-1;FrameAssemblyJB-1/FramePanelSubAssembly-13/JBFrameTubeMount-5;FrameAssemblyJB-1/FramePanelSubAssembly-13/JBFrameTubeMount-6;FrameAssemblyJB-1/FramePanelSubAssembly-13/JBFrameTubeMount-2;FrameAssemblyJB-1/FramePanelSubAssembly-14/JBFrameTubeMount-2;FrameAssemblyJB-1/FramePanelSubAssembly-14/JBFrameTubeMount-7;FrameAssemblyJB-1/FramePanelSubAssembly-13/JBFrameTubeMount-1;FrameAssemblyJB-1/FramePanelSubAssembly-14/JBFrameTubeMount-8;FrameAssemblyJB-1/FramePanelSubAssembly-14/JBFrameTubeMount-1;FrameAssemblyJB-1/FramePanelSubAssembly-14/JBFrameCenterMount-1;FrameAssemblyJB-1/FramePanelSubAssembly-14/Abduction Encoder Holder-1;FrameAssemblyJB-1/FramePanelSubAssembly-13/RingHolder-3;FrameAssemblyJB-1/FramePanelSubAssembly-13/RingHolder-4;FrameAssemblyJB-1/FramePanelSubAssembly-13/Integrated Drive Lightweight-2/Body - Front-1;FrameAssemblyJB-1/FramePanelSubAssembly-13/Integrated Drive Lightweight-2/Back Plate-1;FrameAssemblyJB-1/FramePanelSubAssembly-13/Integrated Drive Lightweight-1/Back Plate-1;FrameAssemblyJB-1/FramePanelSubAssembly-13/Integrated Drive Lightweight-1/Body - Front-1;FrameAssemblyJB-1/FramePanelSubAssembly-2/RingHolder-4;FrameAssemblyJB-1/FramePanelSubAssembly-2/Integrated Drive Lightweight-2/Body - Front-1;FrameAssemblyJB-1/FramePanelSubAssembly-2/Integrated Drive Lightweight-1/Body - Front-1;FrameAssemblyJB-1/FramePanelSubAssembly-2/RingHolder-3;FrameAssemblyJB-1/FramePanelSubAssembly-2/Integrated Drive Lightweight-2/Back Plate-1;FrameAssemblyJB-1/FramePanelSubAssembly-2/Integrated Drive Lightweight-1/Back Plate-1;FrameAssemblyJB-1/FramePanelSubAssembly-1/Abduction Encoder Holder-2;FrameAssemblyJB-1/FramePanelSubAssembly-1/RingHolder-4;FrameAssemblyJB-1/FramePanelSubAssembly-1/Abduction Encoder Holder-1;FrameAssemblyJB-1/FramePanelSubAssembly-1/RingHolder-3;FrameAssemblyJB-1/FramePanelSubAssembly-14/RingHolder-4;FrameAssemblyJB-1/FramePanelSubAssembly-14/RingHolder-3;FrameAssemblyJB-1/FramePanelSubAssembly-14/Abduction Encoder Holder-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_1,-0.0966409614939924,-0.00092652871580623,-0.00199755966138084,0,0,0,0.555831049727415,0.000517471328500522,1.30651234728158E-05,1.88139667336094E-05,0.00142784729581039,-2.61322353699576E-06,0.00108178759053029,0,0,0,0,0,0,package://nuDogv6/meshes/FR_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nuDogv6/meshes/FR_1.STL,,FrameAssemblyJB-1/Abduction Attachment Frame Mirrored-2;Leg assembly V2-1/Integrated Drive Lightweight-1/Body - Front-1;Leg assembly V2-1/Integrated Drive Lightweight-1/Back Plate-1;Leg assembly V2-1/FacePlateThrustWasher-1,Origin_FR_Ad,,FR_Ad,revolute,0.2,-0.19035,0.52,0,0,-1.5708,Body,1,0,0,5,5,-5,5,,,,,,,,
FR_2,5.81463813074806E-05,0.0372579060064524,-0.0440057362809116,0,0,0,0.955322690779101,0.00135382463322311,2.40549276637862E-07,-1.30902180553742E-06,0.00173666668372863,1.02515334146085E-05,0.000526624906422333,0,0,0,0,0,0,package://nuDogv6/meshes/FR_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nuDogv6/meshes/FR_2.STL,,"Leg assembly V2-1/m2 to thrust bearing-1;Leg assembly V2-1/BackPlateThrustWasher-1;Leg assembly V2-1/Integrated Drive Lightweight-2/Body - Front-1;Leg assembly V2-1/Integrated Drive Lightweight-2/Back Plate-1;Leg assembly V2-1/Upper leg V2-2;Leg assembly V2-1/Roller Chain Sprocket, 14 teeth, 2.5OD-1;Leg assembly V2-1/6546K211_Multipurpose 6061 Aluminum Rectangular Tube-1;Leg assembly V2-1/Knee V2-1",Origin_FR_Hip,,FR_Hip,revolute,-0.087,0.04635,0,0,0,0,FR_1,0,1,0,5,5,-5,5,,,,,,,,
FR_3,-0.00219267056994654,-0.0292079279218723,-0.0840068646168993,0,0,0,0.343745471195329,0.000820436232498093,-2.63187495677138E-10,-7.02033420128806E-10,0.000845273980989468,3.31672239367909E-10,6.00811902101851E-05,0,0,0,0,0,0,package://nuDogv6/meshes/FR_3.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://nuDogv6/meshes/FR_3.STL,,Leg assembly V2-1/95608A126_Stainless Steel Ultra-Wide Flanged Button Head Screw-2;Leg assembly V2-1/6384K361_Ball Bearing-2;Leg assembly V2-1/6546K211_Multipurpose 6061 Aluminum Rectangular Tube-2;Leg assembly V2-1/Knee_lowerV2-1;Leg assembly V2-1/2299K21_Flat Sprocket-1;Leg assembly V2-1/6384K361_Ball Bearing-1;Leg assembly V2-1/95608A126_Stainless Steel Ultra-Wide Flanged Button Head Screw-1,Origin_FR_Knee,,FR_Knee,revolute,0.002279,0.089024,-0.3055,0,0,0,FR_2,0,1,0,5,5,-5,5,,,,,,,,
FR_F,0,-5.55111512312578E-17,0.00908903172798536,0,0,0,0.0795066908433816,3.6051507112722E-05,1.26933505587961E-21,2.31568806981652E-21,3.60278364502836E-05,-4.49769709525602E-21,1.74581184916402E-05,0,0,0,0,0,0,package://nuDogv6/meshes/FR_F.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nuDogv6/meshes/FR_F.STL,,Leg assembly V2-1/Revised Foot-1,FR_F,,FR_Ank,fixed,-0.002679,-0.029112,-0.30696,0,0,0,FR_3,0,0,0,,,,,,,,,,,,
FL_1,-0.0967393972118638,0.000926541484217031,-0.00199756778760267,0,0,0,0.555829934213579,0.000517470888264942,-1.34557888211724E-05,1.89099545530415E-05,0.00142784443930778,2.61316343241059E-06,0.00108178897095405,0,0,0,0,0,0,package://nuDogv6/meshes/FL_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nuDogv6/meshes/FL_1.STL,,FrameAssemblyJB-1/Abduction Attachment Frame-3;Leg assembly V2 Opposite Hand-1/Integrated Drive Lightweight-1/Body - Front-1;Leg assembly V2 Opposite Hand-1/Integrated Drive Lightweight-1/Back Plate-1;Leg assembly V2 Opposite Hand-1/FacePlateThrustWasher-1,Origin_FL_Ad,,FL_Ad,revolute,-0.2,-0.19035,0.52,0,0,-1.5708,Body,1,0,0,5,5,-5,5,,,,,,,,
FL_2,-5.81457989127093E-05,-0.0372579050307496,-0.0440057423429025,0,0,0,0.95532258679353,0.00135382460982778,2.40547375722133E-07,1.30901613565249E-06,0.00173666666102497,-1.02515223942036E-05,0.000526624901498985,0,0,0,0,0,0,package://nuDogv6/meshes/FL_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nuDogv6/meshes/FL_2.STL,,"Leg assembly V2 Opposite Hand-1/m2 to thrust bearing-1;Leg assembly V2 Opposite Hand-1/BackPlateThrustWasher-1;Leg assembly V2 Opposite Hand-1/Integrated Drive Lightweight-2/Body - Front-1;Leg assembly V2 Opposite Hand-1/Integrated Drive Lightweight-2/Back Plate-1;Leg assembly V2 Opposite Hand-1/Upper leg V2-2;Leg assembly V2 Opposite Hand-1/Roller Chain Sprocket, 14 teeth, 2.5OD-1;Leg assembly V2 Opposite Hand-1/6546K211_Multipurpose 6061 Aluminum Rectangular Tube-1;Leg assembly V2 Opposite Hand-1/Knee V2-1",Origin_FL_Hip,,FL_Hip,revolute,-0.087,-0.04635,0,0,0,0,FL_1,0,1,0,5,5,-5,5,,,,,,,,
FL_3,-0.00236534514654632,-0.641540072077353,-0.0840068629159584,0,0,0,0.343745471145017,0.000820436232454408,-2.64441127911884E-10,7.02124372057975E-10,0.000845273980971351,-3.2333683140782E-10,6.00811902369714E-05,0,0,0,0,0,0,package://nuDogv6/meshes/FL_3.STL,0.192156862745098,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://nuDogv6/meshes/FL_3.STL,,Leg assembly V2 Opposite Hand-1/2299K21_Flat Sprocket-1;Leg assembly V2 Opposite Hand-1/Knee_lowerV2-1;Leg assembly V2 Opposite Hand-1/6384K361_Ball Bearing-2;Leg assembly V2 Opposite Hand-1/95608A126_Stainless Steel Ultra-Wide Flanged Button Head Screw-2;Leg assembly V2 Opposite Hand-1/6384K361_Ball Bearing-1;Leg assembly V2 Opposite Hand-1/95608A126_Stainless Steel Ultra-Wide Flanged Button Head Screw-1;Leg assembly V2 Opposite Hand-1/6546K211_Multipurpose 6061 Aluminum Rectangular Tube-2,Origin_FR_Knee,,FL_Knee,revolute,0.002279,0.58172,-0.3055,0,0,0,FL_2,0,1,0,5,5,-5,5,,,,,,,,
FL_F,2.77555756156289E-16,-5.55111512312578E-17,0.00908903172798525,0,0,0,0.0795066908433817,3.60515071127221E-05,-2.52615659684742E-21,-5.48010711639832E-19,3.60278364502837E-05,1.91845975460051E-20,1.74581184916402E-05,0,0,0,0,0,0,package://nuDogv6/meshes/FL_F.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nuDogv6/meshes/FL_F.STL,,Leg assembly V2 Opposite Hand-1/Revised Foot-1,FL_F,Axis_FL_Ank,FL_Ank,fixed,-0.00187901353150022,-0.641635499999994,-0.306958515898266,0,0,0,FL_3,0,0,0,,,,,,,,,,,,
BR_1,0.0967393972118642,-0.000926541484217086,-0.00199756778760245,0,0,0,0.55582993421358,0.000517470888264942,-1.34557888211724E-05,-1.89099545530413E-05,0.00142784443930778,-2.61316343241065E-06,0.00108178897095405,0,0,0,0,0,0,package://nuDogv6/meshes/BR_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nuDogv6/meshes/BR_1.STL,,FrameAssemblyJB-1/Abduction Attachment Frame-1;Leg assembly V2-3/Integrated Drive Lightweight-1/Body - Front-1;Leg assembly V2-3/Integrated Drive Lightweight-1/Back Plate-1;Leg assembly V2-3/FacePlateThrustWasher-1,Origin_BR_Ad,,BR_Ad,revolute,0.2,-0.72405,0.52,0,0,-1.5708,Body,1,0,0,5,5,-5,5,,,,,,,,
